D_ESTADO_DATO_0;D_TERRITORIO_0;D_TEMPORAL_0;D_RESITUR_0;INDICATOR;OBS_VALUE;FREQ
40123;3143;2020;55698;Viajeros;930067.797321636;A
40123;3143;2020;55565;Viajeros;657996.718614773;A
40123;3143;2020;55697;Viajeros;272071.078706863;A
40123;3143;2019;55698;Viajeros;2678774.506997564;A
40123;3143;2019;55565;Viajeros;1259806.81745749;A
40123;3143;2019;55697;Viajeros;1418967.689540074;A
40123;3143;2018;55698;Viajeros;2463634.422599692;A
40123;3143;2018;55565;Viajeros;1112291.175576792;A
40123;3143;2018;55697;Viajeros;1351343.2470229;A
40123;3143;2017;55698;Viajeros;2412102.496178468;A
40123;3143;2017;55565;Viajeros;1083480.457462017;A
40123;3143;2017;55697;Viajeros;1328622.038716451;A
40123;3143;2016;55698;Viajeros;2069123.534211478;A
40123;3143;2016;55565;Viajeros;943150.607579163;A
40123;3143;2016;55697;Viajeros;1125972.926632315;A
40123;3143;2015;55698;Viajeros;1825127.547829718;A
40123;3143;2015;55565;Viajeros;846973.822334957;A
40123;3143;2015;55697;Viajeros;978153.725494761;A
40123;3143;2014;55698;Viajeros;1609259.992651685;A
40123;3143;2014;55565;Viajeros;744177.990390521;A
40123;3143;2014;55697;Viajeros;865082.002261164;A
40123;2352;2020;55698;Viajeros;91193.873556689;A
40123;2352;2020;55565;Viajeros;82691.666529249;A
40123;2352;2020;55697;Viajeros;8502.20702744;A
40123;2352;2019;55698;Viajeros;204374.391329095;A
40123;2352;2019;55565;Viajeros;171976.706573538;A
40123;2352;2019;55697;Viajeros;32397.684755557;A
40123;2352;2018;55698;Viajeros;180236.814458268;A
40123;2352;2018;55565;Viajeros;149325.303027549;A
40123;2352;2018;55697;Viajeros;30911.511430719;A
40123;2352;2017;55698;Viajeros;191527.197841568;A
40123;2352;2017;55565;Viajeros;158325.30469054;A
40123;2352;2017;55697;Viajeros;33201.893151028;A
40123;2352;2016;55698;Viajeros;155801.699517597;A
40123;2352;2016;55565;Viajeros;130458.94968484;A
40123;2352;2016;55697;Viajeros;25342.749832757;A
40123;2352;2015;55698;Viajeros;150229.622614769;A
40123;2352;2015;55565;Viajeros;127023.061324258;A
40123;2352;2015;55697;Viajeros;23206.561290511;A
40123;2352;2014;55698;Viajeros;127859.939879253;A
40123;2352;2014;55565;Viajeros;107659.332069012;A
40123;2352;2014;55697;Viajeros;20200.607810241;A
